index,query_request,intent
54,Can you ensure that the charge made to my card on the 15th was properly refunded by the customer service representative that I spoke with on the 15th?,Billing
55,Did you not read what you are responding to ?,Billing
56,So when will someone be able to come out?,Appointment Related
57,@optimum WHY is the wifi in my house out half the time?! Whatâ¿¿s going on?! Sometimes it works and sometimes it doesnâ¿¿t. Iâ¿¿m pretty sure we donâ¿¿t pay for intermittent wifi.,Internet
58,Pieter cooper 1185 Carroll st Brooklyn  Ny,Internet
59,Itâ¿¿s on for now but 100% expecting outage later today or tomorrow. You guys are consistent in horribleness.,Video
60,what channels are included in the promotion that i recently changed to?,Video
61,Hey you guys need to fix your service in ny because channel fox 5 is not working and people are trying to watch RENT live,Video
62,The issue was resolved overnight - thanks for contacting me though.,Internet
63,"Hi, what is this new ""enhancement fee"" on my bill?",Billing
64,I got locked out of my account for â¿¿suspicious activityâ¿ as far as I can tell the suspicious activity was merely trying to send an email without disabling NordVPN while using an open WiFi system.,Internet
65,@OptimumHelp Hoboken Espn are out....,Video
66,@OptimumHelp internet has been down for over an hour. Is there an outage in Prospect Heights?,Internet
67,Is there any outages in the Bronx right now? @OptimumHelp,Internet
68,Optimum Online Email: Block an Email Address or Domain,Internet
69,Just installed gigibit 940/940 with optimum / altice. about two weeks ago. can I make adjustments to my plan? phone/tv/internet 200 or 300?,Sales
70,"We have two routers, and one is to the modem, and one is in my room.",Internet
71,@optimum please add OANN to  hot service.  I'm paying a lot of money each month for your service and this is the only news network I would care to watch. As do many people.,Video
72,@OptimumHelp is there an actual number to speak to a real representative? Spent 40 mins calling 7 different numbers and talking to answering machines. Little frustrating.,Account Related
73,Please give me a moment to make sure someone can be here on Thursday.,Appointment Related
74,@OptimumHelp I plugged in a new router and upgraded to Opt300 and want to check the speed,Internet
75,"Hello. 

Just last night I was watching power on demand and I specifically subscribed to starz this week to catch up on the season I missed and now itâ¿¿s completely gone and taken off starz on demand!!!! What a waste of money. Can you tell me why?

Thank y",Video
76,Itâ¿¿s working thanks,Internet
77,Can I get your service in this area 9 monument walk Brooklyn NY 11205,Sales
78,Looking to get internet in my apartment,Sales
79,"I cannot promise a day or time when I would be here.

There is supposed to be a techinican coming to my neighbor's apartment today.

Is it possible ours is the same issue?",Internet
80,"We have been experiencing problems with the internet service you provide for a long time now, despite repeated calls you have managed to avoid improving the service. Today a technician came and managed to determine a problem at the pole which is on the st",Appointment Related
81,Optimum WiFi for XFINITY Internet Customers,Internet
82,Why are our phones not working?,Phone
83,12 landscape ave yonkers New York,Account Related
84,@OptimumHelp any reason why my wifi hasn't been working all day?,Internet
85,"Peter Lau

1615 Lowell Ave, New Hyde Park, NY  11040",Account Related
86,"@TwitchSupport @OptimumHelp I doubt either of you will have an explanation or solution to this, but I'd love it if literally anyone out there could help. I just want to stream and earn an income. This is all I have right now while I'm unemployed.",Internet
87,Phone call history,Phone
88,Hello i got my bill in the mail and it did not reflect any credits,Billing
89,"Hi there, just wanted to double check that there isn't any reason this model (Arris TM 822) would no longer be working with Optimum, like a firmware update or something. Can you confirm?",Internet
90,I hooked up a new modem. When i reset the router it didn't work.,Internet
91,@OptimumHelp Hi there. Are there any plans to get @cspan or @TennisChannel in High Definition? Thanks!,Video
92,Good Morning im going to be a new customer i was interested in the tv basic package wifi and phone 2 cable boxes,Sales
93,Can you tell me where there are stores near me?,Billing
94,"I do not like your new email platform ... 

1.  My name is now spelled wrong on my email details your system sets

2.  You canâ¿¿t open links from the email.",Internet
95,Optimum App for iPad: Search TV Listings and Video On Demand Titles,Video
96,"Hello, my upload speed is lower than what my package says, I'm on Optimum 200, and my upload speed is 12 mbps.",Internet
97,Hey @optimum @OptimumHelp Iâ¿¿m looking to buy a modem instead of continuing to lease one from you since you doubled the lease fee with no advance warning... are the Arris Surfboard models compatible with your network? (All the models listed on your websi,Internet
98,@optimum internet is down on Bainbridge Street in Brooklyn for 3 days straight - PLEASE FIX ASAP,Internet
99,what will be my monthly charges total,Sales
100,Bring back music choice!,Video
101,i would like to know what would be the total for the 69.99 package,Sales
102,"Hi, my ID is 07862-238621-02-1. Although I was charged with $10 late fee, I wasn't informed of that payment delay, my apologies. I have just started with your services in January, and that's my first time in the US. I still paid my amount due without late",Billing
103,Not paying late fee for a bill sent to wrong address and received after due date.  $51.12 and $22.55 is payable - the balance transfer amount and two months internet NO MODEM.,Billing
104,"I tried sending a test message, but I'm unable to deliver:    4.7.1 (delivery not authorized),""smtp;451 4.7.1 Resources restricted for host 142.0.84.220 - try again later - G,5 - 12"",https://t.co/lmYqzsxTMO (167.206.4.79)",Internet
105,@optimumhelp can you guys help me update my package ?,Video
106,"@OptimumHelp i am a new customer, trying to log in into my new account, dont know how....tried create ID, but it return message says...CAN ONLY CREATE 1 ID FROM YOUR HOUSE internet....please help",Account Related
107,Just checked.  Seems to be upstairs tv only.,Video
108,"Well, When I first got your service it was not sufficient to handle my familys needs and my business needs",Internet
109,"@OptimumHelp ive selected my favorite stations, however whenever I go to the Guide All Sations appear by default even though I selected My Favorites in Options. Thereâ¿¿s got to be a way of saving this setting but I canâ¿¿t find it.",Video
110,"Hey Optimum subscribers, you still have a little time left to win big! The MSG Networks Play The Garden Sweepstakes ends on 2/15. Donâ¿¿t miss your chance to win a shootaround with a few of your friends in The Garden, meet with New York Knicks talent such",Billing
111,@OANN needs to be available.   NYC I have @optimum not carrying it.. does @Spectrum or @verizonfios time to switch?  #BoycottFoxNews,Video
112,Multi-Room DVR: Using Parental Controls,Video
113,Will try other channels to see if true.  Yes. it is happening on other channels as well as CNN.,Video
114,@OptimumHelp Why do I have to hold over 1/2 hour to get someone on the phone ?  Why do the Altice boxes have to be constantly reset and still not work ??,Video
115,I'm having trouble connecting to Optimum hotspots since I switched to a new phone yesterday. The login credentials worked on my old device but now they're not being recognized.,Internet
116,I can not wait till Sunday. I absolutely need tomorrow. Iâ¿¿m sorry. I will have to discuss canceling her phone with optimum. Because her phone is the main problem.,Appointment Related
117,Fox isn't working at all @optimum ? #RentLive,Video
118,yea here you go https://t.co/9kAXJREdEt   unable to stream with this speed. and i know its not anything inside my house going wrong has to be something in the neighorhood or in the general system,Internet
119,"My name is Teddy Korkidis 

My address is: 6 Merman Place, Babylon, NY 11702

Phone: 631-792-0332

I have been without service since yesterday 2/26. I called Optimum and was told that a technician would be here between 10 am - 8 pm. I took off work to be hom",Appointment Related
120,Optimum App for Android or Kindle Fire: View Live TV,Video
121,"My mother in law lives in Five Star Premier Senior Living in Yonkers.  She receives her TV through a bulk supply agreement between Optimum and the Facility,  the facility pays Optimum and recovers the cost in the residents' rent. In January of this year t",Billing
122,I'M GOING TO EXPOSE THE CORRUPTION.,Billing
123,Good evening. Iâ¿¿m having an issue with my tv.,Video
124,"Weâ¿¿ve had no phone and no internet since early this morning. We already checked the modem.

Acct: 07864-139166-01-5

Phone: 732 591-5593

Robert/Diana Soletti

40 Petra Drive

Morganville, NJ 07751",Internet
125,"I was home ALL DAY!!!!!!!!!!! I want a credit on my account!!!!!!! I am pissed off!!!!! Pending for tomorrow, WTH??????",Billing
126,"It says in the payment schedule tool that once I scheduled it, service would be restored immediately, and would only be suspended if the payment DID NOT get processed",Billing
127,Can you please check if my modem is back up?,Internet
128,@OptimumHelp wtf? Itâ¿¿s the nfc championship!!!! Fix it! https://t.co/81AvXfk5n4,Video
129,Altice One App: My Picks,Video
130,What a shocker @optimum raises their prices again.  How about we provide adequate service first before raising my bill?,Billing
131,Get our best deal ever - 150 Mbps for only $30/mo. when bundled. Plus no contract and a free smart router.,Sales
132,@OptimumHelp my McAfee antivirus subscription indicates it has expired,Internet
133,"Iâ¿¿ve ONLY had @directvnow since July 2018 & there has already been a price increase of $10. While next month in April ANOTHER $10 increase + I have @HBO thatâ¿¿s $5 but going up to $15. Iâ¿¿m already paying $60 + tax. With that said, @optimum Iâ¿¿m comi",Sales
134,@optimum get Fox5 working quickly Iâ¿¿m missing Rent!!,Video
135,i need to know what the cost will be after 1 year of service,Sales
136,"Thank you for the information. Still a pretty bogus fee. I agreed to  $60 a month at the beginning of my cycle (a $10 increase from my last contract). If you keep raising the prices, I'm going to cancel my service and find a better provider",Billing
137,"Understood, thank you!",Billing
138,Online Bill Pay: Delete or Modify an Automatic Payment (Resi),Billing
139,I have never had optimum before and I am thinking of setting up internet service in my new home when I move in two weeks,Sales
140,@TMZ Something wrong with the sound!!!!! @FOXTV @Altice,Video
141,Optimum App for iPad: Troubleshooting Live TV or Video On Demand,Video
142,dont send the technician yet,Internet
143,"Hi, thanks for the response. I have tried rebooting my modem several times. The optimum website says ""there are no outages, but we can't communicate with your modem."" I have tried 3 different coaxial cables. I called tech support and gave them my number t",Internet
144,@OptimumHelp when will service be restored in Crown Heights??? This is the 4th time we have lost service for hours in a few months... WHEN will this neighborhood be semi-reliable? #IHaveWorkToDo,Internet
145,How can I sync my optimum mail with my iphone.  ,Phone
146,i know how to get on demand i would select the title and then the show or movie wont play,Video
147,Moving need to transfer service,Sales
148,"@KatzStats @OptimumHelp Oh I'm thanking them for the explanation, not for being charged a $2.50 donation fee I never consented to. Trust me, my faith in Optimum is definitely damaged as a result of this bad customer experience.",Billing
149,We were told somebody would be here yesterday and they never showed. We were then told last night that it would be Thursday and we told them to send someone today since your crew missed the appointed day. Now you're telling us they wont be here till Satur,Appointment Related
150,"Still have issues with my DVR and Netflix app, but donâ¿¿t have time to setup service visit, so I constantly have to turn box on and off",Video
151,"Hi, do you have an ETA on when the outage will be restored? Iâ¿¿m on Saddle Rd in Norwalk.",Internet
152,"name is 

william mayo or linda jenkins



address is 131 belmont ave 

apartment 8E

brooklyn, new york

11212 



number is +1 (347) 305-3487",Account Related
153,Can My phone Signal when I have VoiceMail?,Phone
154,"@OptimumHelp @optimum Upgrade me to the highest speed, at the same regular rate or Iâ¿¿m disconnecting my service, and so are my family members.",Billing
155,Ok hope I can get my internet back soon or at least have an idea of when it will be restored.,Internet
156,Iâ¿¿m not talking about the bill Iâ¿¿m talking about the automated service,Billing
157,"What happened to channel 140, Heroes and Icons? Why s it off line? When will it be restored.",Video
158,"Acct number 0780171691403



Joseph Hose",Account Related
159,@therealsteele21 @optimum They shut phone service off too so you canâ¿¿t call them. And theyâ¿¿re experiencing high call volume so you canâ¿¿t get through,Internet
160,@OptimumHelp your customer service is terrible. I need a number to contact someone and explain!,Account Related
161,"No, I was not aware of it. When was it scheduled?",Appointment Related
162,"Ralph Chetcuti ID rchetcuti

I am also told to sign in with the prima",Account Related
163,@optimum what the heck happened to Buzzr .. channel worked yesterday and today itâ¿¿s â¿¿temporarily unavailableâ¿ ?,Video
164,@RENTonFOX @FOXTV There are viewing issues in the Bronx. How about the rest of the country? @optimum,Video
165,Setting Up Email on Mac OS X Mail (POP),Internet
166,@OptimumHelp,Internet
167,Optimum Voice: Change My Telephone Number,Phone
168,Everything is good on my end but I keep having problems with the wifi.,Internet
169,Channels I paid for are not coming in.,Video
170,@OptimumHelp On hold for almost an hour-- no service at my house-- modem does not work-- less  than 1 month old,Internet
171,Could you send the details 91 dollars to my email?,Billing
172,I left work early for this appointment. And I havenâ¿¿t had internet in days. And half of my channels are showing,Appointment Related
173,I haven't heard from the escalation team in 2 days and my problem still isn't solved.,Account Related
174,Yesâ¿¿ 2 re green and 2 are yellow,Internet
175,What do i need to install only internet?,Sales
176,Modems: ARRIS TM822G,Internet
177,What's with Wifi today. Despite what am trying can hardly get Enuff at this early hour to tweet without long pauses . Anything happening at headquarters ...?,Internet
178,Get Internet for as low as $24.99 mo./1 yr. with unlimited data & over 2 million hotspots.,Billing
179,Maybe itâ¿¿s cause thatâ¿¿s how much package my cellular device can manage? On my PS4 my download was 30 also https://t.co/O1xbdQyssE,Internet
180,Hello looking for update here,Billing
181,7865-190596-03,Internet
182,I'm a customer. We're looking for *free* On Demand movies. Does Optimum have?,Video
183,"@OptimumHelp It's alright, already took care of it through phone support.",Video
184,@optimum my internet has been down consistently for an entire day. Is there an outage in zip 12524?,Internet
185,@OptimumHelp been having intermittent outages since Thursday and still outage problems till today. Gets fixed for a few hours and down again. Prior to the storm it began. Optimum get a grip on service cuz Verizon Fios has been hounding me with great offer,Internet
186,How much  will the actual bill be with fees and taxes,Sales
187,Optimum changed my billing from $192 per month to $254 per month. No change to my service Then my DVR was not working so I called for service. As it stopped working he said it would cost me $80 for a technician. Or I could buy service contract for $6.99 a,Billing
188,Sure i will call and if i get the same amswer i will let u guys know,Billing
189,Iâ¿¿ve given my number to you at least three times. 908-692-6686. I rarely use my home computer. I usually use my iPad which what Iâ¿¿m using right now when Iâ¿¿m at home. My office desktop is essentially the only computer I use other than this iPad. Can,Internet
190,"@OptimumHelp @amoreSTEPH Same issue here in Brooklyn, @OptimumHelp. Going on about 5 hours now.",Internet
191,....... I donâ¿¿t know what to tell you. That wired connection https://t.co/wNnMRohwiG,Internet
192,"Wow, thanks @OptimumHelp for not informing me about scheduled maintenance... 6 hours without internet is no big deal I guess. Not like I was in the middle of things. >.<",Internet
193,We have service with the optimum router. Thank you,Internet
194,"THat is my wifes account and I doubt she knows the password, she does not une optimum email etc.  How do I transfer entitlements and no HBOGO still does not work for me.",Account Related
195,What is the offer for new residents?,Sales
196,201-471-1188.,Internet
197,Wireless,Internet
198,Cmac is 94877cf27d26 and is now connected ready to rock and roll :),Internet
199,Two internet outages within two hours of each other. Way to go @optimum,Internet
200,"Hello, i was wondering if there was a way to see if there was or is an outage in my area",Internet
201,Ryoko Hotani 3475647785 130 Fenimore st 5B Brooklyn NY Account #07836-582679-04-4  My internet has been very slow and flaky. Can you fix it?,Internet
202,Bot Net Monitoring,Internet
203,"@OptimumHelp Trying to create an Optimum ID and can't! I'm on my home optimum network, and it still tells me I need to be on my home network. I can't talk to any one because I can't sign in. I can't sign in because I can't create an ID. It's a vicious cyc",Account Related
204,I donâ¿¿t have any of that equipment in my possession.  I have a receipt saying I returned 2 items but only indicates which model number it is,Internet
205,got a phone call from Optimum but I couldn't hear,Phone
206,"Hi, account # 07801-545564-05-3. I was charged a $10 late fee on 12/25/18 because my balance was 9 Cents past due. Really!? I'm sure this was an automated process. If its not too much trouble, please waive the $10 late fee. Thank you Brian Jagnanan, 225 E",Billing
207,Optimum App for iPad: Technical Issues/Verify Connection to Home Network,Video
208,"Jonathan Van Ryzin, 381 Church Hill Rd, Fairfield, CT, 203-530-2688",Account Related
209,Is there anyway I can keep the one tomorrow?,Appointment Related
210,Yea i connect now Iâ¿¿m just still getting really bad upload speeds,Internet
211,I am using antonioxx as my optimum id and my name is Antonio Rodriguez and address is 618 Broadway St,Account Related
212,"@optimum @OptimumHelp  all this hoopla just to log in and pay my bill. â¿¿Itâ¿¿s easyâ¿ they said, â¿¿just log inâ¿they said. Now they need me to speak robotics #corporatecorruption https://t.co/C6TFiBidRZ",Account Related
213,"Hi, this is just to note that I found your customer service entirely lacking this morning, and I'm so frustrated that you guys can't fix problems in a timely manner. I was on the phone with someone for more than 30 minutes, unplugging and replugging every",Internet
214,We rebooted the router and the modem. We also shutdown and restarted the computer. But this problem isnâ¿¿t unique to just this computer,Internet
215,on top of it on January 13th the cable box just stopped working.  they talk me in switching to altice...Jan 15th tech came and installed it HE left knowing we had NO service...NOTHING. No internet no phone service and no cable service I was told someone e,Internet
216,Recording Copyrighted Programming,Video
217,"I cannot even call Optimum the worst customer service ever, bc I cannot get through to customer service!!! I spent 3 hours waiting on hold on phone this morning, 1 hour waiting for a response on the online â¿¿chatâ¿ support feature, I have tried to send",Internet
218,why cant i just take phone off hook.  it keeps making that sound where before it would go silent,Phone
219,Fyi in response to msg on fb page from a PJ it is  the same problem as yesterday thats been happening for about a week now only has gotten progressively worse right now one tv is working dont want to screw that one up as I have an appt for tomorrow,Video
220,@OptimumHelp so wha happened? I got nothing concerning my bill today. Does that mean @optimum is free now? FREE service from Optimum they donâ¿¿t want you to pay! THANKS OPTIMUM!,Billing
221,Hi I am a current Optimum customer and have questions about my bill and account. It seems that I could save a considerable amount of money by switching to Altice. I found this on my own after speaking to someone on the phone who never mentioned Altice.,Sales
222,646-736-9771,Internet
223,"I want to use ""watch ESPN"" on my iPhone 6.",Phone
224,Can you please take this off my bill?  I don't even see it as a description on the back of my bill.,Billing
225,"Munja Kwon (or could be under my dadâ¿¿s name Tae Kwon);

11 Rosehill road, Briarcliff, NY 10510. Thanks!",Account Related
226,"Hi, I have a question about my internet bill - it's higher this month, $39.99 instead of the usual $29.99. Can you help me figure it out, or is there a number I can call?",Billing
227,Hey @OptimumHelp want to stop throttling my upload speed? Tryna stream over here,Internet
228,"@lorencecorbett @optimum @OptimumHelp @optimum Technician at my house today (it only took me 7 days to get someone there). Only another 5-10 days (maybe) until my tv/internet is fixed, if they actually send anyone. If you have a choice (I donâ¿¿t), use  @",Appointment Related
229,Hi there. No one showed up to return my modem. What should I do?,Appointment Related
230,Okay this is the report from this morning WITHOUT rebooting the modem &amp; router. I just wanted to see the difference between night and day. Iâ¿¿m going to do the reboot in about 4 minutes. https://t.co/Cdf7p5Ntoj,Internet
231,"How long does it take for someone to look at an escalated ticket. This has been going on for many days. Iâ¿¿m asking you please, please, please intervene and have this ticket somehow prioritized. At this rate this will NEVER end.",Internet
232,"I love how @optimum is now charging a ""Network Enhancement Fee""..cuz I guess the almost 250/month I pay isn't enough to get their shitty service together..I wish the industry were opened up to more competition...#cablecompaniessuck #internetsucks",Billing
233,I need to speak to someone about my bill. My bill has increased exponentially in the last 5 years and I dont understand why.,Billing
234,Sorry. Thatâ¿¿s reply@conservative.blabber.buzz,Internet
235,This connection is slow.,Internet
236,I already have internet service can I go to the store and start tv service and pickup boxes,Sales
237,Mary Ann/Larry Green 4 Round Hill Road Poughkeepsie Ny 12603 845-462-6614,Account Related
238,@TMZ now its on pause!!!!! @Altice @fox. No its not other channels.,Video
239,"James Scarantino
Phone Number: 5184963071
Address: 3 Edgemont Road. Katonah, NY. 10536.
Account: 07803-296676-11",Account Related
240,"I have called your customer service several times, your people just straight up dont answer or hang up the phone, your service has been hit or miss in Piscataway nj 08854, for the last 3 days. Your website says its fine, its not. I need assistance... plea",Internet
241,@OptimumHelp I did that multiple times already and the problem persists í ¿í¿¢ ^AP,Internet
242,Disappointed at the lack of respect and value given to LONGTIME paying customers!,Billing
243,Does OOL support IPV6?,Internet
244,Patricia warshaw 198c Newcastle ct ridge ny 11961 6318492089,Internet
245,@OptimumHelp is there an outage in the South Bronx? Nothing is working.,Internet
246,"Good morning. 5am and after 10pm on the guide it still says ""No Data"" until 12 am.",Video
247,Trying to speak with human. Wanted to speak about programs and altice2,Sales
248,But that doesnâ¿¿t make sense if they were sent because I never received them! The last statement I got was on 11/7 and thatâ¿¿s the last time I paid:,Billing
249,"don't think this is the right spot for this, but I have watched my bill for the same service go up 38 dollars over the past few years. If this continues, I will be dropping the service for another provider. This is an odd business practice.  Very tough to",Billing
250,Rebooting Your Altice One Equipment,Video
251,Yes please,Internet
252,What are the taxes fees and surcharges on the  select TV package vs premier TV  package with 1 Altice One and 1 Altice mini,Sales
253,The box is now on and seems to be working but Iâ¿¿m not getting video or sound on my TV. Iâ¿¿ve rebooted a few times and the box turns on but again black screen and no audio.,Video
254,@optimum  I am using 200mbps internet . but i am getting only 23.03mbps. when i complaint this issue in optimum customer service they send one technishan . he didnt fix this issue . he just came and check that speed  .he also cofirmed that i am getting lo,Internet
255,"Robert Michalski.  159 Nassau Ave Apt 2A Islip, NY 11751.  516-302-7807",Account Related
256,Hello I have been having very difficult internet problems and ever since last week we get half the mb/s that we used to,Internet
257,Hi my internet disconnected again just now,Internet
258,Are you available for tv and internet where i live,Sales
259,Optimum Voice: 811 One-Call System (Call Before You Dig),Phone
260,"Optimum customers get 24/7 hyper-local news with News 12, only on Optimum Channel 12.",Sales
261,"I have been trying to fix a broken installation for the past 24 hours.  Your installer came to my house and literally HUNG the modem off of my wall.  He never installed the route, or the 4 cable cards, that we ordered.  He said he could not because the in",Video
262,I was told when I called the number on the screen that their was a service outage therefore you did not perform service.   I was told to put my name on a list and I would be called up when restored.  I did that 3 times.   Therefore you should not be compe,Billing
263,"I just spent an hour getting the run around on the phone. I was talking to someone about the price of my services, when got transferred to someone that I thought was in the retention dept, was talking about an offer that I got a few days ago, I was then s",Billing
264,Hello. I changed my plan last month so that I only get internet and not phone or television. My bill was 47 last month and is now 93. I'm not sure why there is such a large price difference,Billing
265,@Altice why can I not access my DVR and keep getting an error screen with the code OBV-055?? I would like to watch @ShadowhuntersTV please.,Video
266,Hey Iâ¿¿m experiencing packet loss and low upload speed,Internet
267,and also the guy told me thereâ¿¿s no fee as long as itâ¿¿s a problem on optimumâ¿¿s side correct?,Billing
268,@OptimumHelp Thanks for the response.   I am surprised only in SD.   No one wants to watch world class sports in SD.,Video
269,"Hi, thanks for the response.",Internet
270,Thank you!,Internet
271,"Questions for @Optimum: Do we get @MeTV in New Haven County? If so, on which channel? If not, why not? I watch @Svengoolie Saturday nights at my friendâ¿¿s home in Fairfield County on channel 33. I would like to be able to do so at home. Thank you.",Video
272,"Hey, do you have a list of Optimum Certified Routers?",Sales
273,But you see how it said I was next?  And then that went away,Appointment Related
274,Afternoon im sorry but im not feelin this brand new stringray,Video
275,Sorry just saw your reply. I'm there waiting for the page to load,Internet
276,Thats hogwash.,Billing
277,I only asked them to cancel an appointment to switch services because I was supposed to be moving to Brooklyn but my oldest daughter is in a coma so I could not move,Appointment Related
278,The issue here is that we called and TRUSTED that your customer service representative would GUIDE us and instead she deceived us so that she can get a â¿¿saleâ¿ on her roster. She should NEVER had made this a NEW customer. It should have been a simple c,Billing
279,Voicemail: Retrieving your Voicemail,Phone
280,"And what of the fact that I paid for $49 for an installation that clearly was not tested properly, as I am not recognized on the network.",Billing
281,"@OptimumHelp Unfortunately that was not the case and I wouldnâ¿¿t consider pushing an SD card in (something I could have done myself very easily) as a technician speciality. The communication was that fees COULD apply, not that they 100% will. Which is wh",Billing
282,Thank you,Internet
283,My billing  is wrong have tried since Dec 2018 to correct  NO CORRECTION and have paid too much on this bill due to your inability to use easy pay that has been used as long as this cable company has offered PLEASE PLEASE TRY TO CORRECTPLEASE,Billing
284,"hello,am trying to have your services and am doing it on line but am not sure it went through..",Sales
285,I included a video of it on my tweet. its hard to describe-terrible quality. It is not on other channels,Video
286,Account 07876-549727-04-8,Internet
287,"I use the gmail web interface. I have the promotional tab disabled and even if I did, it isn't showing up when I search. This includes separate searches in the spam and trash bins.",Internet
288,I know the issue isnâ¿¿t on our end. Itâ¿¿s your equipment i donâ¿¿t know why we have to pay for something thatâ¿¿s not our fault,Appointment Related
289,Email Storage Capacity on Optimum,Internet
290,"awesome, thanks.",Video
291,Please book the 2-5 for me,Appointment Related
292,Hi they just installed my optimum connection and the connection is really slow,Internet
293,"@OptimumHelp I have a cable card, getting weak signal on my boxes diagnostics. Only one box hooked up to cable",Video
294,You sent nothing you gave me nothing whe I turned in the equipment. Take ownership for your employees error.,Billing
295,Hello??? This is the 2nd outage in two nights!!!,Internet
296,@OptimumHelp how long before the outage in Long island is fixed?,Internet
297,i am interested in cable,Sales
298,"iâ¿¿m good now, it works!",Internet
